investor_id,company_id
393,393
2787,2790
666,799
1084,1866
1084,1983
1084,1846
1084,1085
1084,1153
1084,1942
1084,2034
1084,1573
1084,1970
1084,1621
1084,1933
1084,1651
1084,1794
1084,2025
1084,1867
1084,1359
1084,1957
1084,1854
1084,1822
1084,1932
1084,2218
1084,1993
1084,1628
1084,1874
1084,1178
1084,1553
1084,1653
1084,1868
1084,1400
1084,1920
1084,1769
1084,2030
1084,1799
1084,1953
1084,1896
1084,1612
1084,1708
1084,2257
1084,1913
1084,1793
1084,1999
1084,1566
1084,1622
1084,2018
1084,1706
1084,1889
1084,1876
1084,2002
1084,1806
1084,2254
1084,1682
1084,1762
1084,1775
1084,1881
1084,1985
1084,1711
1084,1961
1084,2045
1084,1591
1084,1943
1084,2010
1084,1726
1084,1768
1084,1358
1084,1619
1084,1235
1084,1696
1084,1812
1084,1300
1084,1860
1084,1156
1084,1908
1084,1980
1084,1788
1084,1855
1084,1882
1084,1397
1084,1880
1084,1716
1084,1839
1084,2166
1084,1588
1084,1728
1084,1801
1084,1824
1084,1912
1084,1593
1084,1690
1084,1807
1084,2031
1084,1350
1084,1800
1084,1537
1084,1939
1084,1143
1084,1670
1084,1629
1084,1672
1084,1644
1084,1614
1084,1837
1084,1875
1084,1642
1084,1802
1084,1558
1084,1676
1084,1141
1084,1891
1084,1602
1084,1334
1084,1918
1084,2024
1084,1165
1084,1659
1084,1923
1084,1548
1084,1560
1084,1991
1084,2217
1084,1783
1084,1623
1084,1905
1084,2295
1084,1605
1084,1632
1084,1969
1084,1715
1084,2226
1084,1772
1084,1166
1084,1895
1084,2142
1084,1618
1084,1796
1084,2047
1084,1897
1084,2026
1084,1936
1084,1473
1084,1941
1084,1610
1084,1541
1084,2186
1084,1399
1084,2042
1084,1342
1084,1565
1084,2224
1084,1162
1084,1613
1084,1396
1084,2167
1084,2011
1084,1838
1084,1872
1084,1547
1084,1787
1084,1870
1084,1331
1084,1782
1084,1780
1084,1811
1084,1471
1084,1963
1084,1704
1084,2264
1084,1911
1084,1978
1084,1345
1084,1858
1084,1887
1084,1890
1084,1910
1084,1994
1084,1922
1084,1597
1084,1112
1084,1869
1084,1915
1084,1666
1084,1886
1084,1808
1084,1578
1084,1834
1084,2007
1084,1348
1084,1990
1084,1543
1084,1849
1084,1725
1084,1580
1084,1686
1084,1392
1084,1159
1084,1634
1084,1559
1084,1401
1084,1857
1084,1231
1084,1828
1084,1267
1084,1830
1084,1720
1084,1474
1084,1554
1084,2143
1084,1916
1084,1810
1084,1712
1084,1335
1084,1337
1084,1544
1084,1900
1084,1232
1084,2028
1084,1142
1084,1171
1084,1645
1084,1346
1084,1776
1084,1398
1084,1938
1084,1549
1084,1475
1084,2141
1084,1695
1084,1789
1084,1604
1084,1901
1084,1675
1084,1709
1084,2036
1084,1333
1084,1906
1084,2035
1084,1694
1084,2044
1084,1851
1084,1301
1084,1568
1084,1538
1084,1856
1084,1152
1084,1556
1084,1981
1084,2012
1084,1155
1084,2004
1084,1786
1084,1583
1084,2221
1084,1395
1084,2048
1084,2037
1084,1521
1084,1188
1084,1904
1084,1302
1084,1624
1084,1639
1084,1577
1084,1131
1084,1785
1084,2219
1084,1967
1084,1777
1084,1640
1084,1536
1084,1680
1084,1921
1084,1873
1084,2027
1084,1600
1084,1147
1084,1966
1084,1931
1084,1563
1084,1620
1084,1888
1084,1996
1084,1842
1084,1586
1084,1934
1084,2185
1084,1168
1084,2041
1084,1160
1084,1843
1084,1877
1084,1329
1084,2289
1084,1681
1084,1840
1084,1479
1084,1654
1084,1928
1084,1697
1084,1151
1084,1954
1084,1689
1084,2053
1084,1343
1084,1950
1084,1344
1084,1304
1084,2000
1084,2046
1084,1341
1084,2288
1084,1615
1084,1546
1084,1826
1084,1960
1084,1813
1084,1947
1084,1852
1084,1845
1084,1539
1084,1940
1084,1992
1084,1700
1084,1657
1084,1781
1084,2019
1084,1338
1084,1608
1084,2001
1084,1625
1084,1551
1084,1997
1084,1724
1084,1674
1084,1596
1084,1693
1084,1468
1084,1603
1084,1995
1084,1340
1084,1879
1084,2029
1084,1778
1084,1790
1084,1884
1084,1707
1084,1179
1084,1909
1084,1964
1084,1832
1084,1705
1084,1552
1084,1714
1084,1633
1084,1898
1084,1318
1084,1871
1084,1948
1084,1841
1084,2040
1084,2183
1084,1722
1084,1433
1084,1562
1084,1402
1084,2191
1084,1827
1084,2293
1084,2296
1084,1979
1084,1649
1084,1713
1084,1982
1084,1865
1084,1161
1084,1975
1084,1718
1084,1774
1084,1678
1084,1564
1084,2032
1084,2282
1084,1894
1084,1444
1084,2290
1084,1798
1084,2195
1084,2170
1084,1835
1084,1902
1084,1595
1084,2294
1084,1630
1084,1561
1084,1719
1084,1611
1084,1903
1084,1443
1084,1804
1084,1163
1084,1721
1084,2003
1084,1351
1084,1971
1084,1590
1084,1598
1084,1792
1084,2051
1084,1149
1084,1914
1084,1764
1084,1692
1084,1664
1084,1972
1084,1589
1084,2165
1084,1795
1084,1239
1084,1144
1084,1170
1084,1956
1084,1339
1084,1848
1084,1349
1084,1685
1084,1962
1084,2005
1084,1687
1084,1585
1084,1823
1084,1671
1084,1663
1084,2175
1084,1976
1084,1862
1084,1665
1084,1765
1084,1899
1084,1148
1084,1626
1084,1643
1084,2015
1084,2189
1084,1567
1084,1530
1084,1658
1084,1467
1084,1710
1084,1354
1084,2013
1084,1648
1084,1542
1084,1853
1084,2292
1084,1935
1084,1929
1084,1550
1084,1771
1084,1973
1084,2216
1084,1579
1084,1791
1084,1315
1084,2054
1084,1555
1084,1951
1084,2182
1084,1607
1084,1656
1084,1382
1084,1885
1084,1150
1084,1779
1084,1173
1084,1540
1084,1688
1084,1717
1084,1989
1084,1927
1084,1987
1084,1570
1084,1332
1084,1925
1084,2049
1084,1394
1084,1986
1084,1998
1084,1606
1084,1878
1084,1773
1084,1441
1084,1146
1084,1662
1084,1410
1084,1336
1084,1698
1084,1727
1084,2038
1084,1594
1084,1174
1084,1470
1084,1850
1084,1158
1084,1393
1084,1317
1084,1944
1084,1784
1084,1683
1084,1952
1084,1763
1084,1627
1084,1599
1084,1646
1084,1352
1084,2014
1084,1655
1084,1861
1084,1167
1084,1576
1084,1945
1084,1691
1084,1189
1084,1825
1084,1631
1084,1833
1084,2164
1084,1581
1084,1233
1084,1660
1084,1571
1084,1959
1084,1616
1084,1601
1084,2188
1084,1303
1084,1729
1084,1723
1084,1844
1084,1668
1084,1893
1084,1892
1084,1609
1084,1955
1084,1661
1084,1809
1084,1636
1084,2190
1084,1926
1084,1484
1084,1984
1084,2043
1084,2008
1084,2009
1084,1767
1084,1863
1084,1949
1084,1575
1084,1316
1084,1574
1084,1355
1084,1154
1084,1584
1084,1805
1084,2291
1084,1176
1084,1641
1084,2039
1084,2184
1084,1582
1084,1703
1084,2033
1084,1847
1084,1652
1084,1770
1084,1831
1084,1974
1084,1766
1084,1917
1084,1353
1084,1145
1084,1347
1084,1572
1084,1988
1084,1930
1084,1157
1084,1829
1084,2187
1084,1169
1084,1836
1084,1907
1084,1587
1084,1883
1084,1592
1084,2050
1084,1669
1084,2225
1084,1977
1084,1958
1084,2006
1084,1701
1084,1635
1084,1638
1084,1319
1084,1699
1084,1864
1084,1164
1084,1650
1084,1667
1084,1637
1084,1937
1084,1859
1084,1684
1084,2017
1084,1569
1084,1946
1084,1702
1084,1647
1084,1360
1084,2016
1084,1803
1084,2020
1084,1175
1084,1919
1084,1545
1084,1968
1084,1679
1084,1797
2387,2681
2809,2851
1213,1213
346,493
2381,2576
2524,2384
1748,1748
1281,1281
939,939
460,2201
460,2729
1741,1741
378,378
634,2385
2679,2566
334,1745
2,2222
618,618
1821,1758
684,1052
17,178
1377,1286
2672,2804
612,915
612,752
46,167
2569,2662
2569,2660
1459,1459
466,213
0,106
0,2723
1022,2420
486,486
1328,1328
543,543
885,885
1249,747
2064,2162
600,970
907,906
2397,2405
224,2502
1220,1220
805,805
540,2168
628,639
1364,1364
1814,2305
2657,2305
971,971
2342,2396
37,39
357,357
2200,2200
447,447
1446,1446
2180,2270
1412,1412
34,75
519,519
2100,520
111,2452
2736,2754
2237,76
229,1387
1246,1436
1733,1733
1192,1192
529,529
2637,2704
45,2745
209,209
2147,2234
785,785
2105,858
932,932
420,873
2343,2022
2501,2536
2501,2600
422,227
862,862
733,2364
480,480
288,287
352,559
277,384
2497,2545
16,2666
16,331
16,1018
1453,1453
2194,2531
875,875
48,219
705,705
244,483
2467,2300
1201,1201
513,513
2728,2733
985,985
2108,2375
2577,2722
2577,2716
2577,2594
1028,1027
2160,2828
554,554
716,716
61,60
118,2122
605,605
438,1434
438,439
438,440
438,2462
1535,1535
958,958
642,642
144,143
179,179
636,2263
872,872
349,349
616,616
472,472
2763,2510
175,398
2827,2866
1186,1209
1486,83
1047,38
1278,1278
615,615
56,2558
56,478
263,2646
385,385
62,919
2145,1427
2145,1427
739,739
2515,614
2392,614
192,2819
184,347
11,878
2430,2275
2430,2431
2863,2867
212,212
223,223
173,173
808,808
562,562
2278,538
2789,2826
1177,1177
189,189
326,449
176,386
55,122
743,743
1261,1261
203,203
268,267
2091,2235
841,2517
2598,2635
2242,43
69,121
949,949
2552,2466
117,1505
156,156
423,1227
1116,1116
780,780
2124,2680
852,852
2245,2193
2514,2516
1096,1096
982,982
1033,1456
1330,1330
1254,1254
1815,2146
1819,2568
757,758
195,937
987,2343
1532,1532
1751,1751
1375,1375
2650,2658
2521,2777
2347,1123
1732,1732
1236,1236
1742,1742
2587,2691
1264,1264
859,859
400,400
1730,1730
2542,2801
643,643
1221,930
2361,649
1378,1378
1406,2590
2310,2310
131,2578
1056,1056
1259,1259
2769,2550
473,2860
578,1455
1282,1282
430,782
411,2468
2331,2607
672,2715
1262,1262
1001,1001
226,2518
1133,1182
2251,2268
454,659
454,24
2509,659
1181,1181
953,128
2066,2630
1437,1437
541,541
510,510
22,737
2315,2540
1324,1324
1228,1228
110,753
110,1223
110,781
110,1816
110,777
110,750
110,756
1820,2549
916,2651
2179,2752
1308,1308
194,397
333,333
252,1134
696,2317
379,12
683,944
537,435
498,498
748,748
570,570
91,935
923,924
250,250
467,467
433,1219
10,8
2427,2711
372,372
2555,2123
2460,2117
135,1012
2070,2172
2782,2786
2783,2786
1513,1513
2213,2363
2199,2799
155,155
356,356
640,1472
2823,2807
497,497
302,2110
2214,2645
254,254
979,558
751,1407
290,1244
2533,2612
791,789
790,789
882,882
362,1215
820,820
230,800
230,2061
161,160
887,887
1388,1388
27,2472
225,904
426,426
476,476
82,2755
470,470
890,890
1129,1129
4,0
857,2475
694,2770
475,1088
475,2333
13,2796
13,2655
2500,2303
1076,2785
525,795
2052,2161
2357,500
1420,1420
619,619
2656,2644
190,2726
190,803
1365,1365
738,839
2626,2325
187,188
883,1501
522,522
833,833
2536,2600
2622,2639
2705,257
1380,1380
21,20
1187,1187
992,983
2627,2628
1032,1203
256,208
2153,2457
2557,2511
1198,1198
220,609
1503,2099
2363,2213
1069,1068
2629,1057
1217,1217
186,831
2231,2231
291,298
291,1482
1381,1381
2368,1082
2330,2377
2203,1051
583,2129
583,2178
337,1099
821,821
700,2663
2589,147
1226,1226
471,471
261,396
1000,1000
390,390
2256,2346
2709,2730
2458,2319
531,586
531,587
1617,1617
50,2154
375,2698
1292,1292
1438,1438
33,2393
936,936
126,115
2713,2477
811,811
1290,1290
2494,2821
2086,2086
572,1512
2068,2230
364,364
518,518
1053,1053
2564,2163
1138,1138
1493,1493
1740,1740
1137,1136
969,969
2372,2436
2744,2748
650,650
975,975
596,823
2228,1817
759,2395
1270,2535
1108,1108
959,959
2307,2244
1263,1263
889,2284
2126,2233
819,819
1202,2416
63,1755
1428,2173
2690,2697
150,150
389,388
180,1489
132,2362
436,399
788,2802
1756,2841
2834,2850
146,146
710,710
2208,2328
1126,1126
764,2527
2858,2862
674,2862
458,458
860,860
2415,2439
2602,2606
2583,2767
2269,798
1518,2412
394,394
990,2724
1492,1497
952,952
1287,1287
854,854
1731,1731
85,2157
807,807
1110,1110
2088,2247
2308,2478
1283,1283
577,577
592,678
452,452
1253,1253
668,668
2686,2447
312,312
1240,2114
2085,451
884,884
1447,2073
2441,2732
712,1403
2548,2572
2249,2559
2400,2696
2421,2398
240,240
1677,1677
329,956
834,2350
2240,2835
563,563
1140,1140
551,1225
1062,1062
814,814
591,591
425,2869
774,774
848,159
1419,1419
242,242
1494,2260
2335,2739
1275,1275
638,638
280,280
2688,2822
2285,2297
18,1224
418,418
2092,2090
1363,1363
174,239
445,1118
415,504
2349,2341
2206,2811
869,2140
726,1019
1743,1743
313,2109
313,2093
761,761
124,124
404,1516
133,133
2311,2376
2446,2771
2838,2847
1086,1086
682,1172
2229,2632
374,374
1106,1106
491,2265
2287,2410
136,2714
136,2137
1016,1016
1003,1003
822,914
177,1075
673,673
604,2075
215,215
648,1009
15,2469
181,348
40,416
827,827
2417,2423
594,603
1325,1325
1357,1357
86,96
191,896
568,569
974,974
1024,1024
512,2156
2526,2682
917,950
1119,1119
490,490
153,1066
1391,1391
1258,1258
365,365
691,693
2344,2379
1414,1414
2495,2584
2837,2849
432,432
1435,1435
249,2055
77,2800
308,536
353,2353
2505,2603
1121,1121
633,633
2492,2574
1322,1322
977,977
2764,2585
1279,1279
2023,2207
2083,2369
2605,2150
2703,2750
1139,1139
157,2633
441,35
1495,1495
360,2111
41,345
2613,2617
1476,1476
727,792
1071,1071
812,812
2508,2507
744,744
689,689
1007,1007
408,863
2313,2345
1008,1008
49,2700
49,2833
1490,742
2119,2215
2253,273
1212,1212
635,1111
725,2072
165,413
2087,2604
984,1089
57,926
57,332
1372,1372
2449,2455
255,509
2339,2338
309,1200
1271,1271
459,395
922,1059
3,2459
842,2486
36,2844
201,342
461,462
1064,1064
363,382
2706,2806
1021,1021
2422,954
824,824
1207,1207
1277,1277
14,463
14,547
1004,1004
2378,2795
303,818
608,1094
502,502
657,2593
456,456
548,1002
2561,1243
2336,2863
2098,2631
383,1234
1371,1371
1415,2063
724,724
1132,1132
686,2853
1376,1376
2793,2720
625,624
1744,1744
336,695
584,545
2643,359
1411,1309
1117,1117
968,1517
2196,2127
1266,948
434,2281
103,534
218,218
231,1078
715,2413
247,1362
183,182
620,1533
1048,340
902,902
845,844
762,762
9,381
1483,2380
2298,2675
2737,2351
933,933
588,588
276,1245
138,701
707,918
731,731
344,344
1418,1369
2118,2118
73,1063
90,995
829,829
553,553
676,745
211,1496
2274,2354
574,955
796,1238
81,855
1041,2859
1050,1050
284,284
392,392
269,269
1311,1311
530,530
2241,2248
1504,1504
1038,925
2408,2487
2340,2829
526,526
2582,2641
2710,2474
1080,728
429,429
84,719
2504,2504
1289,1289
813,813
296,656
772,1074
1314,1314
197,644
2565,2152
324,323
2095,2192
1023,1469
989,2451
1206,2443
373,2547
2570,2734
734,734
248,1042
621,621
1205,1205
765,765
1526,2523
437,437
2454,238
2470,407
142,142
654,2255
297,297
560,560
1485,2223
1180,1180
697,2640
1039,778
274,905
599,598
1735,1735
1356,1356
1390,1390
1218,1218
940,1405
367,1449
2592,2751
1216,1216
246,246
611,2309
787,669
1115,1115
354,533
2074,2271
874,645
961,961
610,945
47,1519
927,2665
741,1010
2151,2227
409,702
2670,2721
2513,2757
1366,1366
428,2277
868,202
149,149
270,976
1370,1370
245,1531
1326,1326
2318,2327
1257,1257
1738,1738
343,660
489,2133
489,2358
489,2250
489,169
59,58
196,424
1083,1083
1477,1477
350,350
2326,262
141,271
66,2432
243,2471
740,981
2778,2779
1250,1250
485,484
221,221
1293,1293
1451,1527
871,527
1965,527
2390,301
2625,2725
801,815
1196,1196
920,2301
199,198
443,556
2468,2618
140,139
236,1508
888,888
951,951
2128,2128
746,746
704,897
2130,2197
114,511
2299,2299
217,216
2546,2687
893,893
1295,1295
44,355
2567,2575
417,2473
307,2708
1210,1210
523,523
564,564
2115,2465
2788,2772
228,228
1135,1135
2586,2846
999,999
1457,2563
2766,2776
23,474
23,2212
2056,2261
446,446
2414,2429
2112,2239
613,613
2125,2081
1125,1125
281,2272
369,2667
1305,1305
316,315
706,2512
921,921
853,2198
5,129
894,978
1818,1818
769,769
797,797
1310,1310
1749,1749
370,1458
1255,1255
1049,2144
2529,2683
1229,1229
946,946
2176,2176
1035,1035
127,127
849,849
2232,2267
2097,1529
2741,2743
272,272
286,767
28,2624
2746,2761
2749,2810
865,840
317,317
804,804
524,524
2654,630
2520,2371
2818,2525
2132,72
1093,1093
1736,1736
2107,2661
2107,2671
2685,2781
366,1557
479,2169
910,2283
2530,2528
2334,680
492,2332
1098,1098
1104,1104
806,1252
675,675
166,166
2243,2320
2419,2323
2082,2482
1452,1452
1734,1734
1383,1383
1211,1211
19,19
207,207
92,361
589,1013
1522,2366
1522,1241
1445,2434
1439,2579
52,2684
941,941
64,26
1306,1306
1183,1183
266,2069
1478,2106
2388,2428
1285,1285
2238,2238
294,293
78,94
2758,2616
2304,2616
419,419
720,251
2135,2389
2391,784
575,575
89,427
253,1251
112,1060
817,2490
2652,2252
749,749
1739,1739
2464,2355
2280,2615
1130,1130
403,1005
664,779
1525,2266
532,2747
495,495
1297,1297
2857,2836
1320,1320
1191,1191
234,986
65,2636
679,1463
2534,2620
699,699
2399,2695
74,549
763,2634
1421,646
721,1006
2554,2868
457,457
87,698
87,687
1374,1374
421,258
775,2664
1097,1097
275,494
1077,1487
2537,2794
1408,1432
836,836
595,595
998,2484
283,1230
617,723
351,351
292,292
210,210
358,358
330,376
2149,2597
1737,1737
901,901
1296,1296
2076,2258
2437,1509
1367,1367
832,832
2588,2852
776,776
319,1204
972,972
1109,870
2647,1507
783,406
2407,629
2784,2805
1043,1043
736,773
514,1426
299,448
895,2609
1044,2084
851,851
542,542
2483,2699
2631,2759
2674,2543
1430,1430
1373,1373
991,991
637,637
2402,2435
2279,2065
2843,2842
402,1466
708,708
1488,1488
1087,1087
647,973
2479,2485
2792,2845
97,1502
576,576
1448,1448
1101,1101
477,477
709,709
1520,864
1291,934
555,193
2406,282
965,965
300,300
328,328
2522,2692
2522,2693
2155,2155
688,1065
1122,1122
314,681
2727,2735
2742,2832
2702,206
663,663
1103,2491
2489,2815
134,264
2573,2601
929,929
2445,713
931,931
1379,1379
469,1361
597,597
2159,1070
607,607
481,481
1120,1120
967,967
1294,1294
1030,2071
1327,1327
2158,2762
879,1272
54,53
2171,2519
29,1413
535,414
1307,1307
123,123
730,729
516,516
259,259
573,2669
1754,1757
1384,1384
503,947
1113,2463
1113,2461
1761,1761
685,911
233,233
1197,1197
579,579
598,599
517,1061
232,232
2610,2581
380,380
1265,1265
241,241
2210,2259
2078,2608
1288,1288
455,455
2103,2286
866,997
2067,997
320,320
279,1500
665,665
2814,2780
2138,2386
2424,2425
867,285
341,2096
1460,1460
2205,2493
2442,2556
1090,1090
2541,2619
1523,571
1256,1256
1480,1480
760,2094
1429,1429
830,830
116,1040
515,658
2276,2322
1506,1506
909,908
335,335
2370,2825
1274,1274
2360,2503
431,431
2448,2689
465,464
2329,593
1298,1298
2551,816
582,130
1481,1481
453,453
2553,810
412,1461
2236,2403
561,627
1498,1462
2209,2773
632,632
2774,2797
2668,2861
2760,2864
703,1025
158,2642
899,2321
2653,2712
651,651
861,861
1746,1746
2791,2765
1195,1195
960,960
2453,322
912,912
2356,2756
2352,1026
943,943
1248,1247
2148,2174
318,304
994,2306
2211,2614
1404,2830
104,325
42,68
1091,1091
877,877
1753,1924
2831,2854
137,2488
2707,2718
606,606
1031,1464
237,237
1273,1273
2102,1054
289,585
2481,2506
755,755
2426,222
809,2450
148,148
1100,1100
505,652
405,1499
843,843
1017,1017
1128,1128
1,25
119,119
2181,2181
2120,2120
499,499
1242,1242
1124,1124
655,828
1440,1440
1368,2638
2812,2220
891,891
1269,1422
546,546
214,913
306,722
2373,2382
172,172
387,387
2433,2440
898,278
993,168
1079,1079
1417,1417
321,321
661,661
1237,1237
2057,2101
2113,1524
602,602
2580,2611
235,79
957,957
265,265
1673,1673
2538,2359
1442,1442
1454,2021
2136,2136
125,125
2775,2476
200,401
152,151
771,2262
521,521
1752,1423
1029,1092
980,2438
826,826
2116,544
2116,2856
2621,2623
539,1015
735,735
2596,2816
1514,1514
2496,2302
95,1036
2367,2840
1511,1510
1190,1190
1385,1385
2204,2204
2337,2820
837,837
1389,1389
1312,1312
601,109
886,886
31,30
793,793
641,641
2560,305
770,311
754,754
1034,2365
2677,2740
962,962
802,653
1105,1105
900,327
260,2134
881,2855
2678,2753
338,377
468,468
171,170
162,162
718,717
966,1465
310,1386
508,2456
996,996
1107,1107
1208,1208
671,671
2131,2312
1193,1193
2177,1323
88,964
102,101
690,690
488,487
1409,1409
507,506
2595,2659
1491,1491
847,846
2694,2701
1037,1037
747,1249
2409,2058
2374,2374
1750,1750
1046,1046
1067,67
371,1058
107,1102
154,1534
2599,2348
32,204
1194,1194
450,626
93,2314
2316,2316
838,838
1299,1299
662,1425
1011,2562
2738,2808
1528,1185
1185,1185
565,566
2571,2848
942,942
786,786
876,903
339,2817
2499,2824
444,444
677,963
567,2077
2079,2717
1095,1095
2104,120
100,99
856,856
2394,2401
892,892
1260,1260
2411,2498
185,71
1747,1747
1055,1055
1313,1313
163,163
1014,1424
580,496
1276,1276
928,928
1284,1284
2676,2839
557,557
410,2865
1222,1222
711,711
1184,1184
51,2080
2798,2803
550,825
391,391
164,368
145,794
988,1214
552,552
528,295
2383,2060
1268,1268
880,880
1280,1280
105,2813
70,2059
1081,692
1321,1321
501,2649
2731,2768
1114,1114
1416,1020
1073,1072
7,6
2202,1759
631,631
938,938
1760,1760
1127,1127
2139,2089
98,2121
2591,2648
670,670
835,835
2062,2273
2539,2544
108,108
581,581
732,2324
1431,1450
205,766
2444,2480
850,850
80,113
2246,2673
714,1199
1045,2532
401,442
667,667
768,2404
482,2418
1515,2719
622,623
590,590
